Computer_Science,Chemistry,Mathematics,Physics
80.42,76.99,89.77,69.8
94.76,77.25,110.82,69.93
91.56,76.48,81.37,70.75
69.14,75.73,79.78,84.13
79.56,83.54,93.09,82.61
77.39,92.33,66.25,77.52
102.53,87.92,87.3,77.84
85.06,80.45,67.48,93.54
88.99,78.06,74.7,77.01
92.89,70.96,65.78,88.59
84.15,84.37,90.12,67.59
103.06,82.4,83.3,79.24
82.58,86.14,88.46,73.45
89.51,92.29,86.0,82.46
92.91,82.19,90.37,81.73
91.39,74.1,87.41,68.48
76.27,79.27,84.09,90.89
81.28,87.89,75.33,88.69
85.83,97.09,76.84,82.22
78.82,86.99,81.31,65.69
87.11,87.4,91.85,56.32
80.88,71.36,93.51,82.24
83.78,102.46,77.73,72.51
88.77,85.92,78.95,86.02
69.1,88.32,91.79,83.28
89.3,89.5,74.19,74.42
97.75,99.3,71.43,77.34
93.3,83.89,74.51,89.39
77.62,88.96,100.16,75.29
100.31,75.44,98.5,81.87
86.34,77.18,78.75,81.59
85.82,104.91,74.51,87.22
91.18,76.61,68.56,83.14
83.45,80.57,106.48,78.86
79.3,89.2,81.68,82.47
75.25,89.8,86.02,67.06
85.79,87.24,68.93,92.56
80.66,69.21,60.43,68.55
75.14,88.7,86.43,93.85
88.82,90.27,96.76,67.46
98.46,79.36,40.17,72.48
100.7,83.57,85.28,95.12
76.46,86.97,69.21,77.9
89.43,93.12,79.14,88.12
64.33,104.98,101.15,91.35
77.13,84.4,80.2,77.22
92.04,77.55,75.96,85.2
87.58,88.62,77.04,83.31
71.39,79.88,87.36,83.95
97.08,94.89,78.02,102.28
72.32,90.94,70.41,85.13
96.57,77.49,49.68,87.07
72.4,84.13,84.76,72.56
76.04,90.63,90.77,88.4
98.95,93.11,73.1,92.76
80.8,104.6,97.25,77.4
82.04,80.7,77.53,77.7
97.04,68.92,72.36,57.23
76.91,94.36,104.72,75.34
78.86,86.18,82.99,69.8
91.61,86.13,104.37,83.23
80.03,100.76,92.75,80.78
84.3,88.28,78.16,67.29
73.2,105.68,74.73,65.64
79.38,85.24,78.05,76.29
81.78,66.32,93.44,94.14
79.24,86.08,93.79,82.39
77.12,87.05,91.12,70.27
89.88,68.8,82.44,81.74
78.99,111.35,67.0,79.94
87.71,71.36,83.87,65.81
63.95,84.29,87.61,85.12
92.17,80.44,87.68,93.21
89.73,94.54,82.23,93.32
95.42,88.38,81.74,74.58
85.81,91.67,79.92,54.24
102.63,91.7,92.1,87.33
69.95,80.06,83.44,68.62
84.18,71.42,85.91,87.17
84.57,87.9,73.43,81.44
80.36,102.09,91.27,75.73
96.6,103.75,55.34,99.67
108.26,87.35,70.71,81.0
92.78,85.49,73.43,88.95
90.9,98.42,83.52,91.15
86.48,87.66,88.46,86.8
87.34,86.63,70.4,78.17
91.43,84.19,98.05,75.23
94.08,89.29,78.59,87.76
81.55,80.72,67.8,79.44
97.14,88.66,75.97,75.82
82.03,83.14,93.37,84.92
78.91,105.2,74.79,69.19
87.06,90.31,84.43,82.62
81.41,91.66,79.85,68.09
71.5,98.36,94.3,87.37
87.34,83.68,81.58,89.04
88.23,77.84,104.92,74.97
84.72,104.26,90.84,67.1
81.92,103.06,84.98,85.6
95.24,86.34,73.99,83.79
81.65,72.4,81.15,93.52
86.63,105.36,83.45,86.67
94.51,81.33,79.24,65.62
93.3,91.55,78.7,101.45
74.19,74.13,89.13,91.73
82.42,92.63,78.59,77.89
79.89,90.9,58.02,93.95
91.26,96.01,75.69,82.06
79.88,91.25,67.94,96.87
102.03,99.79,68.75,93.75
80.31,67.31,81.66,94.14
79.97,73.67,80.21,83.07
77.83,91.5,78.1,92.89
87.33,90.38,75.76,79.96
83.7,95.05,103.67,87.77
101.42,80.2,85.4,96.69
81.23,84.18,82.48,72.37
96.04,87.28,70.46,79.5
90.14,86.82,68.39,77.67
88.33,90.18,77.19,67.15
95.19,82.25,75.69,78.52
77.43,96.8,97.77,91.51
84.6,81.55,95.92,91.46
88.98,87.97,86.75,81.77
93.1,65.68,88.19,93.07
84.92,89.16,75.96,70.82
86.09,89.61,68.46,72.43
90.64,76.95,88.61,84.36
105.06,77.13,92.34,94.6
89.01,96.12,88.79,74.82
94.07,77.25,95.25,83.76
75.81,83.19,86.79,72.64
108.48,83.46,83.18,87.8
64.96,88.56,88.87,94.79
59.33,90.75,92.1,104.49
84.83,86.25,83.01,76.37
73.16,97.02,81.98,82.51
95.85,76.73,72.93,84.19
70.2,105.96,100.99,76.77
89.48,93.82,55.09,83.61
66.57,73.52,84.71,87.48
75.48,74.37,83.0,83.12
98.46,88.08,80.52,79.19
83.93,69.58,55.23,70.4
78.84,89.21,76.42,81.99
85.05,109.37,82.78,89.65
87.3,89.55,83.91,90.53
73.44,83.06,72.22,79.81
82.21,67.21,84.51,78.63
94.77,65.6,79.66,92.75
81.27,93.06,85.44,91.69
107.79,107.21,92.82,89.34
85.09,84.22,94.23,80.25
87.32,81.72,87.21,91.42
70.43,86.62,84.97,83.02
87.85,83.6,88.86,90.39
85.89,82.81,84.63,82.8
96.85,81.44,90.94,84.46
76.78,81.38,87.01,80.65
68.22,81.43,76.43,64.13
77.18,102.49,73.07,95.12
60.34,93.81,81.27,69.08
69.6,65.37,82.16,98.06
74.51,84.38,72.42,78.92
95.38,65.46,97.01,82.62
96.49,87.8,81.36,86.79
79.27,87.93,82.6,84.62
78.09,79.86,91.11,91.54
84.18,93.78,83.32,73.5
86.67,94.63,93.12,73.4
81.23,75.41,84.99,84.85
88.59,95.51,61.16,95.66
85.56,95.62,76.94,105.9
95.49,94.2,94.27,81.94
80.57,81.23,100.78,97.45
101.79,81.98,75.84,96.45
84.36,75.03,100.76,77.93
101.66,89.18,86.17,76.74
90.36,93.03,71.74,84.91
77.75,63.9,64.01,78.19
92.01,80.49,97.71,88.45
87.04,102.17,84.41,67.68
73.43,78.22,91.0,87.71
99.2,76.79,81.76,83.89
85.96,82.48,73.26,92.59
90.97,99.22,73.24,82.18
88.49,83.89,98.06,78.6
100.42,72.3,67.23,88.96
107.19,81.79,95.06,99.81
69.28,67.61,70.08,67.88
91.44,90.39,85.68,93.7
99.72,86.23,76.57,88.2
93.29,75.72,75.99,82.25
91.63,88.05,70.5,88.15
102.37,68.81,84.24,90.51
86.19,96.89,79.9,90.95
87.69,76.72,90.11,85.95
84.44,76.48,74.52,82.38
80.3,83.38,80.09,80.72
87.47,66.72,85.19,94.4
73.02,83.78,68.82,95.73
66.32,84.39,91.03,92.76
80.08,81.89,78.22,87.33
72.69,72.99,95.79,79.61
83.66,94.32,82.38,97.38
83.24,90.94,78.57,71.81
86.21,82.87,58.82,71.41
71.46,83.69,87.43,88.54
80.31,76.97,102.67,79.78
88.43,90.41,84.19,78.32
89.51,89.33,77.59,85.62
75.41,84.75,106.02,92.39
84.14,101.28,88.55,84.95
80.04,85.01,65.66,84.16
92.4,89.92,85.62,91.91
86.17,93.04,76.83,80.11
83.26,75.41,86.01,74.07
84.96,98.91,70.2,72.19
85.89,96.21,92.41,82.96
87.03,67.66,88.06,65.78
87.38,93.15,90.26,69.16
93.1,86.27,80.32,89.76
89.27,87.7,64.21,57.03
75.61,95.71,81.41,101.4
106.66,108.57,80.21,81.41
85.7,68.41,79.51,57.78
76.8,83.6,82.88,40.71
89.99,77.4,71.32,85.67
80.41,85.42,81.26,82.86
119.39,84.63,81.52,93.91
84.4,83.31,78.27,91.26
62.25,83.58,102.22,79.23
89.35,89.86,83.04,69.7
78.23,74.98,79.51,75.03
87.03,86.19,88.89,83.5
100.43,106.38,87.88,79.36
80.31,83.72,61.2,85.57
74.93,95.21,86.94,83.99
108.33,96.18,80.34,67.05
94.73,72.29,86.29,79.11
92.64,77.27,78.53,94.08
80.66,90.82,95.7,82.88
94.6,93.0,82.67,85.61
104.43,87.57,90.97,71.35
102.05,91.31,63.74,88.12
82.09,88.58,63.61,66.28
85.26,90.24,96.77,87.04
82.98,77.2,81.38,73.11
88.26,78.48,79.9,76.71
87.23,58.9,82.61,65.01
81.46,88.8,90.39,89.84
85.5,87.92,68.39,82.77
78.22,85.6,98.77,83.58
95.91,64.16,79.81,73.98
75.26,102.71,76.39,97.04
75.6,94.09,87.26,88.73
77.65,102.81,81.51,64.92
75.86,76.19,87.94,80.88
99.98,74.23,100.24,87.99
96.32,80.52,75.02,85.21
87.18,94.08,82.96,74.96
84.27,90.32,80.46,92.01
95.57,70.97,86.06,67.96
84.82,94.22,81.55,66.07
94.61,86.44,71.63,76.38
65.79,69.18,80.83,68.75
82.39,79.96,92.63,103.51
89.51,106.74,72.92,80.02
93.22,87.92,69.68,74.19
81.38,87.93,86.05,83.56
86.5,62.9,73.51,73.18
86.5,97.03,74.03,74.15
91.85,79.69,87.97,89.59
98.11,82.95,92.33,75.83
77.18,79.02,86.3,63.82
77.18,84.7,88.26,86.35
89.34,82.38,78.76,84.49
96.36,84.2,86.68,73.53
89.42,81.46,102.05,73.44
87.87,81.9,78.45,87.95
68.26,72.23,74.95,93.36
77.03,88.51,86.89,77.25
87.03,87.04,98.14,75.82
87.8,67.62,71.88,89.32
72.23,90.05,89.14,85.5
86.23,94.15,85.12,79.35
94.44,86.67,74.07,90.82
90.45,98.74,79.68,68.48
80.8,75.44,74.68,83.67
81.47,84.99,57.22,87.12
82.93,100.58,96.96,90.16
74.24,100.73,90.31,98.11
87.98,82.75,83.69,76.81
88.13,92.57,77.93,80.37
104.68,83.22,80.04,80.42
72.43,105.76,72.72,76.9
79.56,76.51,96.71,103.02
70.19,66.91,78.76,105.36
84.66,97.73,85.42,83.99
81.34,94.63,86.82,91.17
99.04,93.32,68.74,88.03
67.95,72.32,81.46,86.57
83.27,84.49,84.49,77.95
88.46,86.59,88.55,85.62
74.73,82.81,77.63,77.05
84.89,88.46,84.7,95.37
77.67,82.0,75.51,68.93
80.82,76.72,88.93,92.59
83.52,79.26,73.2,91.21
87.84,81.53,76.05,71.04
82.32,92.25,74.91,82.99
73.37,83.05,78.02,81.05
91.56,75.58,87.91,80.14
90.01,98.37,85.99,70.5
88.61,61.42,74.73,92.2
72.78,89.13,61.02,78.71
81.96,77.19,101.7,99.32
61.09,71.26,100.7,86.29
108.52,91.53,86.81,76.85
90.71,86.26,103.53,85.92
98.33,105.78,91.92,85.92
91.72,90.19,79.53,86.75
82.35,81.27,77.91,75.39
78.12,78.8,75.73,87.67
81.74,86.12,78.07,83.24
65.42,96.71,75.21,68.73
90.11,95.25,83.77,57.94
87.24,92.55,59.0,64.71
73.74,100.42,79.69,76.86
72.26,76.12,76.78,91.37
88.56,107.26,72.2,85.06
80.59,79.45,91.81,96.02
92.4,77.0,80.37,71.07
93.51,70.15,83.7,63.48
82.92,83.12,82.58,82.03
95.87,90.35,76.15,88.47
72.24,71.16,73.78,97.36
103.11,85.36,90.83,69.8
76.04,79.99,77.92,81.0
90.2,86.83,73.94,71.23
83.44,77.44,81.32,84.79
102.68,91.85,64.84,110.24
100.74,90.46,99.38,64.03
85.26,100.0,85.13,81.69
81.57,94.11,63.2,71.5
86.7,76.1,78.09,78.4
93.86,87.27,87.74,79.41
78.2,78.67,89.14,99.67
78.96,95.49,93.12,93.01
83.95,73.05,72.83,93.36
79.54,91.94,68.04,77.91
101.77,97.88,47.01,100.44
93.84,88.6,88.41,83.3
89.02,77.62,86.55,79.4
91.77,87.13,90.66,75.66
107.89,81.73,75.16,72.36
97.38,84.26,72.34,63.65
75.64,81.28,79.62,67.99
93.48,69.42,100.85,72.63
94.6,80.24,78.59,88.25
64.22,62.03,82.75,83.22
80.21,91.38,72.4,64.96
101.39,76.67,62.93,75.31
84.95,96.56,95.35,81.84
74.48,95.9,68.03,81.1
102.18,93.75,94.98,85.33
85.46,86.92,78.0,79.47
83.38,75.55,83.39,56.34
92.09,95.11,61.85,85.65
94.66,74.73,70.33,81.75
90.08,73.17,90.92,81.03
75.15,96.36,91.79,72.97
104.26,83.54,78.8,81.29
81.75,82.15,91.38,85.48
82.75,85.21,85.28,75.15
86.94,63.89,83.33,91.36
95.29,76.15,62.49,73.78
80.32,83.58,94.78,77.44
85.34,81.86,89.6,104.2
68.12,91.04,82.16,87.86
81.22,73.55,92.5,99.18
92.85,87.97,85.89,107.27
72.38,76.15,93.56,77.87
92.93,93.56,74.69,77.5
94.92,88.29,81.86,85.57
93.49,82.32,77.83,88.52
75.66,85.08,71.58,94.29
71.9,99.01,87.02,67.2
91.8,88.0,87.69,78.57
79.25,86.55,77.91,68.54
95.03,91.67,73.2,85.74
81.42,95.75,77.32,82.76
86.08,100.11,79.82,86.76
76.7,76.67,73.85,81.76
81.7,81.51,55.97,102.7
67.32,74.39,83.68,89.74
66.18,82.78,87.26,93.77
97.99,101.68,89.46,88.37
100.8,98.33,62.32,87.15
99.6,105.31,82.52,98.97
103.36,81.87,79.54,96.42
80.13,87.69,56.83,92.45
85.54,91.65,102.39,78.05
70.25,74.33,74.97,80.67
98.54,85.73,58.03,80.59
82.91,81.09,67.76,57.84
87.71,98.47,47.26,103.33
81.02,92.2,79.26,84.76
91.55,109.71,86.27,80.49
87.48,77.63,87.67,75.95
94.8,97.18,104.99,61.09
88.37,78.66,92.44,68.42
98.21,84.8,95.39,85.59
75.45,76.09,66.51,87.6
65.91,96.68,74.14,97.41
107.82,91.18,69.24,73.02
75.6,77.03,100.14,104.75
105.0,102.97,69.2,104.12
82.68,73.82,97.86,76.8
80.89,104.06,85.16,63.46
77.18,72.1,82.57,82.86
76.84,80.04,83.84,73.52
81.51,86.92,79.66,102.41
83.56,83.07,72.41,85.06
83.74,78.61,78.68,84.32
73.07,86.56,65.85,75.7
87.34,79.14,83.84,86.38
75.92,79.15,85.93,92.23
77.49,84.22,93.01,80.85
82.64,84.37,93.44,82.99
88.59,70.11,82.89,85.94
86.63,93.81,89.85,85.96
67.47,87.86,88.78,75.62
85.85,69.54,77.45,96.68
79.31,80.65,85.44,95.19
74.46,77.2,76.38,93.41
83.51,102.06,84.94,94.0
83.99,90.91,78.55,71.73
90.45,94.53,66.21,92.33
92.79,87.96,71.34,94.66
76.28,95.28,87.73,85.05
76.44,86.73,74.96,95.5
86.69,76.74,82.36,77.56
94.56,101.93,87.69,75.59
74.58,69.34,75.47,74.55
87.84,76.84,76.78,84.49
84.4,77.73,81.05,62.88
85.43,101.05,104.2,71.47
100.47,87.52,73.69,89.06
89.26,84.71,74.79,86.3
86.21,77.33,94.14,83.82
55.39,74.41,94.89,94.2
96.54,74.32,87.39,79.82
78.34,87.64,80.06,85.83
72.88,87.87,106.38,81.8
85.79,71.64,68.57,99.64
80.7,88.3,94.79,73.21
71.05,78.62,87.54,65.98
75.77,86.14,79.64,84.16
86.27,81.19,69.06,75.23
73.28,85.39,74.21,93.23
99.92,94.04,82.41,67.94
95.41,90.35,75.35,96.29
72.64,81.85,88.2,75.42
58.15,84.35,92.69,83.11
71.16,81.72,85.77,80.46
87.26,77.83,83.54,92.97
70.86,82.87,86.29,89.45
66.51,97.35,77.13,84.6
90.01,75.14,63.7,96.0
90.3,86.39,93.64,79.33
75.92,89.7,68.12,74.61
